,LOGRECNO,BLOCK,NAME,HU100,INTPTLAT,INTPTLON,H0030001,H0030002,H0030003,H0060001,H0060002,H0060003,H0060004,H0060005,H0060006,H0060007,H0060008
929,132178,1025,Block 1025,13,33.7623264,-84.3616313,13,12,1,12,9,2,0,0,0,0,1
930,132181,2000,Block 2000,27,33.7705229,-84.3683238,27,27,0,27,14,11,0,0,0,1,1
931,132182,2001,Block 2001,115,33.7705386,-84.3703732,115,101,14,101,11,85,0,1,0,1,3
932,132183,2002,Block 2002,67,33.7694711,-84.3724121,67,48,19,48,7,37,1,1,0,0,2
933,132184,2003,Block 2003,108,33.7694556,-84.3700226,108,96,12,96,27,64,0,3,0,1,1
934,132185,2004,Block 2004,48,33.7687859,-84.369621,48,41,7,41,21,13,1,3,0,0,3
935,132186,2005,Block 2005,74,33.7671008,-84.3729461,74,74,0,74,0,74,0,0,0,0,0
936,132187,2006,Block 2006,10,33.7671336,-84.3722607,10,10,0,10,0,9,0,1,0,0,0
937,132188,2007,Block 2007,22,33.767843,-84.3715322,22,20,2,20,0,20,0,0,0,0,0
938,132189,2008,Block 2008,12,33.7678258,-84.3707844,12,9,3,9,3,6,0,0,0,0,0
939,132190,2009,Block 2009,49,33.767924,-84.3690317,49,40,9,40,10,24,0,0,0,0,6
940,132191,2010,Block 2010,74,33.7668557,-84.3705164,74,66,8,66,6,60,0,0,0,0,0
941,132192,2011,Block 2011,21,33.766764,-84.3683774,21,14,7,14,4,9,0,0,0,0,1
942,132195,1000,Block 1000,307,33.7651054,-84.3744357,307,263,44,263,35,219,0,3,0,0,6
943,132196,1001,Block 1001,313,33.7655607,-84.3765904,313,274,39,274,135,115,0,15,0,3,6
944,132197,1002,Block 1002,1,33.765826,-84.3799282,1,1,0,1,1,0,0,0,0,0,0
945,132198,1003,Block 1003,185,33.7649022,-84.3830414,185,146,39,146,96,42,0,4,0,1,3
946,132200,1005,Block 1005,1,33.7642362,-84.3840366,1,1,0,1,0,1,0,0,0,0,0
947,132203,1008,Block 1008,1,33.7628019,-84.3834783,1,1,0,1,0,1,0,0,0,0,0
948,132207,1012,Block 1012,439,33.7628819,-84.37576,439,381,58,381,210,147,0,14,0,3,7
949,132208,1013,Block 1013,46,33.7619928,-84.377286,46,43,3,43,22,15,0,2,0,1,3
950,132210,2000,Block 2000,589,33.7705609,-84.3752974,589,569,20,569,41,501,4,3,0,2,18
951,132212,2002,Block 2002,33,33.7688081,-84.3751612,33,30,3,30,0,28,0,0,0,0,2
952,132213,2003,Block 2003,3,33.7689286,-84.3732035,3,3,0,3,0,3,0,0,0,0,0
953,132214,2004,Block 2004,29,33.7681269,-84.3735398,29,28,1,28,3,22,0,0,0,0,3
954,132215,2005,Block 2005,32,33.7671778,-84.3754983,32,27,5,27,4,22,0,1,0,0,0
955,132216,2006,Block 2006,31,33.7669616,-84.3739122,31,26,5,26,3,23,0,0,0,0,0
956,132218,3000,Block 3000,75,33.7706703,-84.3780983,75,63,12,63,32,25,0,3,0,1,2
957,132219,3001,Block 3001,72,33.7708501,-84.3789683,72,65,7,65,33,23,0,6,0,0,3
958,132220,3002,Block 3002,675,33.769859,-84.3800601,675,632,43,632,355,213,0,36,0,5,23
959,132222,3004,Block 3004,170,33.7681485,-84.3798688,170,154,16,154,109,34,0,9,0,1,1
960,132225,1000,Block 1000,125,33.7686979,-84.3912629,125,113,12,113,16,86,1,6,0,0,4
961,132228,1003,Block 1003,2,33.7668224,-84.3896489,2,2,0,2,2,0,0,0,0,0,0
962,132229,1004,Block 1004,248,33.7662923,-84.3924733,248,9,239,9,4,1,0,4,0,0,0
963,132230,1005,Block 1005,61,33.7672149,-84.3924605,61,57,4,57,12,41,0,4,0,0,0
964,132231,1006,Block 1006,30,33.7683428,-84.3924728,30,28,2,28,0,27,0,1,0,0,0
965,132235,2002,Block 2002,127,33.7706032,-84.3844277,127,104,23,104,65,31,0,8,0,0,0
966,132236,2003,Block 2003,4,33.7705525,-84.3862553,4,4,0,4,0,3,0,1,0,0,0
967,132242,2009,Block 2009,84,33.7692009,-84.3846385,84,5,79,5,2,3,0,0,0,0,0
968,132243,2010,Block 2010,155,33.769243,-84.3830206,155,114,41,114,38,67,0,5,0,1,3
969,132244,2011,Block 2011,39,33.7680602,-84.3830436,39,39,0,39,20,15,0,2,0,0,2
970,132245,2012,Block 2012,10,33.7680064,-84.3847056,10,9,1,9,8,1,0,0,0,0,0
971,132246,2013,Block 2013,1,33.7662352,-84.3847024,1,1,0,1,0,0,0,1,0,0,0
972,132247,2014,Block 2014,254,33.7665083,-84.3830616,254,219,35,219,68,138,0,6,0,1,6
973,132251,2018,Block 2018,15,33.7687202,-84.3881407,15,14,1,14,9,5,0,0,0,0,0
974,132255,2022,Block 2022,1,33.7666836,-84.3859082,1,1,0,1,0,0,0,1,0,0,0
975,132258,2025,Block 2025,1,33.7677516,-84.3875708,1,1,0,1,0,0,0,0,0,1,0
976,132264,2031,Block 2031,1,33.7669234,-84.3886189,1,1,0,1,0,1,0,0,0,0,0
977,132267,2034,Block 2034,516,33.7654989,-84.3881602,516,318,198,318,95,169,2,38,0,4,10
978,132268,2035,Block 2035,74,33.7652318,-84.389824,74,3,71,3,3,0,0,0,0,0,0
979,132273,2040,Block 2040,120,33.7633049,-84.3850768,120,110,10,110,19,86,0,0,0,0,5
980,132280,2047,Block 2047,25,33.7636168,-84.3870493,25,18,7,18,12,6,0,0,0,0,0
981,132281,2048,Block 2048,3,33.7636578,-84.388264,3,2,1,2,2,0,0,0,0,0,0
982,132284,2051,Block 2051,316,33.7627871,-84.3882774,316,179,137,179,74,87,2,4,0,2,10
983,132297,1000,Block 1000,365,33.7698557,-84.3942966,365,120,245,120,15,95,0,4,0,1,5
984,132298,1001,Block 1001,11,33.7690557,-84.3973796,11,8,3,8,2,5,0,1,0,0,0
985,132299,1002,Block 1002,95,33.7669562,-84.3981875,95,80,15,80,63,10,0,2,0,2,3
986,132303,1006,Block 1006,10,33.7628115,-84.3971322,10,8,2,8,6,2,0,0,0,0,0
987,132305,1008,Block 1008,1,33.7650052,-84.3967322,1,1,0,1,0,0,0,0,0,0,1
988,132306,1009,Block 1009,1,33.7655854,-84.3967204,1,1,0,1,0,1,0,0,0,0,0
989,132307,1010,Block 1010,104,33.7659902,-84.3957243,104,82,22,82,19,54,0,8,0,0,1
990,132308,1011,Block 1011,91,33.7672415,-84.3957151,91,76,15,76,10,58,0,4,0,1,3
991,132309,1012,Block 1012,86,33.7672324,-84.3941768,86,78,8,78,12,61,0,5,0,0,0
992,132310,1013,Block 1013,36,33.7683693,-84.3937629,36,31,5,31,8,19,0,2,0,1,1
993,132312,1015,Block 1015,1,33.7635003,-84.3940148,1,1,0,1,1,0,0,0,0,0,0
994,132313,1016,Block 1016,1,33.7649916,-84.3924797,1,1,0,1,1,0,0,0,0,0,0
995,132320,1023,Block 1023,101,33.7643033,-84.3909418,101,83,18,83,44,34,0,0,0,1,4
996,132322,1025,Block 1025,155,33.7628047,-84.3912823,155,132,23,132,64,59,0,4,0,1,4
997,132327,1030,Block 1030,93,33.7610689,-84.3949581,93,62,31,62,29,26,0,5,0,1,1
998,132333,1036,Block 1036,131,33.7659809,-84.3941887,131,119,12,119,9,101,0,7,0,1,1
999,132339,1000,Block 1000,22,33.7666613,-84.4093875,22,9,13,9,0,9,0,0,0,0,0
1000,132340,1001,Block 1001,19,33.7668352,-84.4105564,19,6,13,6,0,6,0,0,0,0,0
1001,132341,1002,Block 1002,27,33.7668468,-84.4118794,27,8,19,8,0,8,0,0,0,0,0
1002,132342,1003,Block 1003,10,33.7668718,-84.4132078,10,8,2,8,0,7,0,0,0,0,1
